Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Year-Month
CA-2017-152156,08-11-2017,11-11-2017,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2017-11
CA-2017-152156,08-11-2017,11-11-2017,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,2017-11
CA-2017-138688,12-06-2017,16-06-2017,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2017-06
US-2016-108966,11-10-2016,18-10-2016,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,2016-10
US-2016-108966,11-10-2016,18-10-2016,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2016-10
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,2015-06
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,2015-06
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,2015-06
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,2015-06
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,2015-06
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,2015-06
CA-2015-115812,09-06-2015,14-06-2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,2015-06
CA-2018-114412,15-04-2018,20-04-2018,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,2018-04
CA-2017-161389,05-12-2017,10-12-2017,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,2017-12
US-2016-118983,22-11-2016,26-11-2016,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,2016-11
US-2016-118983,22-11-2016,26-11-2016,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016-11
CA-2015-105893,11-11-2015,18-11-2015,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2015-11
CA-2015-167164,13-05-2015,15-05-2015,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2015-05
CA-2015-143336,27-08-2015,01-09-2015,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2015-08
CA-2015-143336,27-08-2015,01-09-2015,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,2015-08
CA-2015-143336,27-08-2015,01-09-2015,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,2015-08
CA-2017-137330,09-12-2017,13-12-2017,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,2017-12
CA-2017-137330,09-12-2017,13-12-2017,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,2017-12
US-2018-156909,16-07-2018,18-07-2018,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2018-07
CA-2016-106320,25-09-2016,30-09-2016,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,2016-09
CA-2017-121755,16-01-2017,20-01-2017,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2017-01
CA-2017-121755,16-01-2017,20-01-2017,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,2017-01
US-2016-150630,17-09-2016,21-09-2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016-09
US-2016-150630,17-09-2016,21-09-2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2016-09
US-2016-150630,17-09-2016,21-09-2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,2016-09
US-2016-150630,17-09-2016,21-09-2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2016-09
US-2016-150630,17-09-2016,21-09-2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,2016-09
US-2016-150630,17-09-2016,21-09-2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,2016-09
US-2016-150630,17-09-2016,21-09-2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2016-09
CA-2018-107727,19-10-2018,23-10-2018,Second Class,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,2018-10
CA-2017-117590,08-12-2017,10-12-2017,First Class,Gene Hale,Corporate,United States,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.544,2017-12
CA-2017-117590,08-12-2017,10-12-2017,First Class,Gene Hale,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,2017-12
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,2016-12
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,2016-12
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,2016-12
CA-2016-117415,27-12-2016,31-12-2016,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,2016-12
CA-2018-120999,10-09-2018,15-09-2018,Standard Class,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,2018-09
CA-2017-101343,17-07-2017,22-07-2017,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2017-07
CA-2018-139619,19-09-2018,23-09-2018,Standard Class,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2018-09
CA-2017-118255,11-03-2017,13-03-2017,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2017-03
CA-2017-118255,11-03-2017,13-03-2017,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2017-03
CA-2015-146703,20-10-2015,25-10-2015,Second Class,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,2015-10
CA-2017-169194,20-06-2017,25-06-2017,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,2017-06
CA-2017-169194,20-06-2017,25-06-2017,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2017-06
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,2016-04
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,2016-04
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2016-04
CA-2016-115742,18-04-2016,22-04-2016,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,2016-04
CA-2017-105816,11-12-2017,17-12-2017,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,2017-12
CA-2017-105816,11-12-2017,17-12-2017,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,2017-12
CA-2017-111682,17-06-2017,18-06-2017,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,2017-06
CA-2017-111682,17-06-2017,18-06-2017,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4,2017-06
